Backbone,DivisionType,VideosType,IoU,mAP,Recall@1x,Recall@5x
omnivore_4s,recordings,normal,0.1,69.39,73.9,86.79
omnivore_4s,recordings,normal,0.2,68.38,73.27,83.96
omnivore_4s,recordings,normal,0.3,66.54,69.26,81.59
omnivore_4s,recordings,normal,0.4,63.03,64.78,79.54
omnivore_4s,recordings,normal,0.5,59.53,60.58,75.93
,,,,,,
,,,,,,
Backbone,IoU,mAP,Recall@1x,Recall@5x,,
"Omnivore
(4s Segment & 
1s Stride)",0.1,69.39,73.9,86.79,,
,0.2,68.38,73.27,83.96,,
,0.3,66.54,69.26,81.59,,
,0.4,63.03,64.78,79.54,,
,0.5,59.53,60.58,75.93,,
