,,Recall@1x,Recall@1x,Recall@1x,Recall@1x,Recall@1x,Recall@5x,Recall@5x,Recall@5x,Recall@5x,Recall@5x,mAP,mAP,mAP,mAP,mAP
IoU,,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5
Backbone,DivisionType,,,,,,,,,,,,,,,
3dresnet,environment,54.82,52.37,48.38,44.1,38.44,77.59,75.34,72.19,67.95,61.87,25.98,25.35,23.75,22.73,19.59
3dresnet,person,63.07,60.77,56.6,52.28,46.79,88.96,87.08,84.75,81.81,76.86,29.29,28.71,27.71,26.13,23.21
3dresnet,recordings,61.14,58.88,55.82,52.1,46.54,85.41,84.14,82.17,78.44,73.29,29.39,28.76,27.89,26.61,23.97
omnivore_1s,environment,67.51,64.45,62.31,58.66,53.01,87.69,85.32,82.82,78.11,72.85,40.4,39.48,38.32,36.54,33.41
omnivore_1s,person,75.96,73.35,70.34,67.35,62.0,93.41,92.14,90.51,88.24,84.73,48.16,47.25,45.82,44.12,41.16
omnivore_1s,recordings,73.71,71.45,68.14,63.42,56.93,93.34,92.08,89.82,86.38,81.86,44.81,44.06,42.76,40.52,37.19
omnivore_3s,environment,72.99,70.05,66.57,62.93,56.12,88.2,86.03,83.68,81.02,75.85,45.73,45.02,43.47,41.83,38.87
omnivore_3s,person,78.63,76.96,74.61,70.75,65.06,94.45,93.27,91.23,89.18,85.68,52.01,51.35,50.25,48.54,44.85
omnivore_3s,recordings,76.82,74.9,71.94,68.72,63.75,92.82,91.33,89.61,88.11,84.71,51.43,50.53,49.23,47.84,44.76
omnivore_3s_45sub,environment,71.04,69.01,64.54,60.36,54.39,90.45,87.72,85.18,81.51,75.94,44.66,44.01,41.86,40.1,37.65
omnivore_3s_45sub,person,79.98,78.49,75.64,71.59,66.47,94.71,93.78,91.87,89.38,85.99,51.4,51.02,50.06,48.45,45.46
omnivore_3s_45sub,recordings,77.13,74.64,71.68,68.28,63.15,93.64,92.55,90.83,88.26,84.28,49.61,48.66,47.46,45.79,42.63
omnivore_4s,environment,71.85,69.79,64.93,61.12,56.56,90.77,88.12,86.33,83.15,77.95,45.29,44.66,43.13,41.54,38.95
omnivore_4s,person,79.33,77.39,74.24,71.42,66.06,94.43,93.46,91.67,89.95,85.51,52.57,51.87,50.69,49.49,46.19
omnivore_4s,recordings,78.61,76.59,73.81,70.95,66.17,93.93,93.04,90.99,88.8,85.49,52.34,51.51,50.24,48.62,45.64
omnivore_4s_60sub,environment,72.64,69.03,65.62,61.14,55.14,89.98,87.9,84.99,81.88,75.89,44.72,43.84,41.98,40.3,37.42
omnivore_4s_60sub,person,79.74,78.31,75.7,71.12,65.6,94.36,93.19,91.62,89.14,85.96,51.27,50.91,50.01,48.15,45.09
omnivore_4s_60sub,recordings,78.18,75.89,73.1,68.51,63.03,93.94,92.77,91.74,89.18,85.15,50.54,49.76,48.72,46.65,43.57
slowfast,environment,55.73,52.08,48.98,44.25,37.82,77.45,74.51,70.9,66.83,60.58,27.68,26.58,25.51,23.56,21.09
slowfast,person,63.22,61.41,58.82,55.26,50.7,90.43,89.36,86.82,83.59,79.49,32.77,32.25,31.21,29.44,27.25
slowfast,recordings,63.97,61.91,59.26,55.92,51.62,89.29,87.45,85.32,81.71,77.27,32.9,32.38,31.47,30.24,27.89
videomae,environment,51.76,48.71,46.16,43.23,37.12,73.0,71.01,67.87,63.83,57.81,28.12,27.18,26.38,24.69,21.35
videomae,person,64.86,62.76,60.32,57.2,51.46,84.05,82.84,80.63,76.98,71.88,38.86,38.31,37.41,35.72,32.24
videomae,recordings,63.08,60.2,57.3,53.75,49.19,80.9,79.49,77.38,74.58,69.43,37.44,36.62,35.11,33.56,30.76
